geoid,city_name,latitude,longitude,country_code,country_code_3,country_name,country_capital,population,timezone
3040051,les Escaldes,42.50729,1.53414,AD,AND,Andorra,Andorra la Vella,15853,Europe/Andorra
3041563,Andorra la Vella,42.50779,1.52109,AD,AND,Andorra,Andorra la Vella,20430,Europe/Andorra
290594,Umm al Qaywayn,25.56473,55.55517,AE,ARE,United Arab Emirates,Abu Dhabi,44411,Asia/Dubai
291074,Ras al-Khaimah,25.78953,55.9432,AE,ARE,United Arab Emirates,Abu Dhabi,115949,Asia/Dubai
291696,Khawr Fakkan,25.33132,56.34199,AE,ARE,United Arab Emirates,Abu Dhabi,33575,Asia/Dubai
292223,Dubai,25.0657,55.17128,AE,ARE,United Arab Emirates,Abu Dhabi,1137347,Asia/Dubai
292231,Dibba Al-Fujairah,25.59246,56.26176,AE,ARE,United Arab Emirates,Abu Dhabi,30000,Asia/Dubai
292239,Dibba Al-Hisn,25.61955,56.27291,AE,ARE,United Arab Emirates,Abu Dhabi,26395,Asia/Dubai
292672,Sharjah,25.33737,55.41206,AE,ARE,United Arab Emirates,Abu Dhabi,543733,Asia/Dubai
292688,Ar Ruways,24.11028,52.73056,AE,ARE,United Arab Emirates,Abu Dhabi,16000,Asia/Dubai
292878,Al Fujayrah,25.11641,56.34141,AE,ARE,United Arab Emirates,Abu Dhabi,62415,Asia/Dubai
292913,Al Ain,24.19167,55.76056,AE,ARE,United Arab Emirates,Abu Dhabi,408733,Asia/Dubai
292932,Ajman,25.41111,55.43504,AE,ARE,United Arab Emirates,Abu Dhabi,226172,Asia/Dubai
292953,Adh Dhayd,25.28812,55.88157,AE,ARE,United Arab Emirates,Abu Dhabi,24716,Asia/Dubai
292968,Abu Dhabi,24.46667,54.36667,AE,ARE,United Arab Emirates,Abu Dhabi,603492,Asia/Dubai
1120985,Zaranj,30.95962,61.86037,AF,AFG,Afghanistan,Kabul,49851,Asia/Kabul
1123004,Taloqan,36.73605,69.53451,AF,AFG,Afghanistan,Kabul,64256,Asia/Kabul
1125155,Shindand,33.30294,62.1474,AF,AFG,Afghanistan,Kabul,29264,Asia/Kabul
1125444,Shibirghan,36.66757,65.7529,AF,AFG,Afghanistan,Kabul,55641,Asia/Kabul
1125896,Shahrak,34.10737,64.3052,AF,AFG,Afghanistan,Kabul,15967,Asia/Kabul
1127110,Sar-e Pul,36.21544,65.93249,AF,AFG,Afghanistan,Kabul,52121,Asia/Kabul
1127628,Sang-e Charak,35.84972,66.43694,AF,AFG,Afghanistan,Kabul,15377,Asia/Kabul
1127768,Aibak,36.26468,68.01551,AF,AFG,Afghanistan,Kabul,47823,Asia/Kabul
1128265,Rustaq,37.12604,69.83045,AF,AFG,Afghanistan,Kabul,25636,Asia/Kabul
1129516,Qarqin,37.41853,66.04358,AF,AFG,Afghanistan,Kabul,15018,Asia/Kabul
1129648,Qarawul,37.21959,68.7802,AF,AFG,Afghanistan,Kabul,24544,Asia/Kabul
1130490,Pul-e Khumri,35.94458,68.71512,AF,AFG,Afghanistan,Kabul,56369,Asia/Kabul
1131316,Paghman,34.58787,68.95091,AF,AFG,Afghanistan,Kabul,49157,Asia/Kabul
1132495,Nahrin,36.0649,69.13343,AF,AFG,Afghanistan,Kabul,22363,Asia/Kabul
1133453,Maymana,35.92139,64.78361,AF,AFG,Afghanistan,Kabul,75900,Asia/Kabul
1133574,Mehtar Lam,34.67139,70.20944,AF,AFG,Afghanistan,Kabul,17345,Asia/Kabul
1133616,Mazar-e Sharif,36.70904,67.11087,AF,AFG,Afghanistan,Kabul,303282,Asia/Kabul
1134720,Lashkar Gah,31.59382,64.37161,AF,AFG,Afghanistan,Kabul,43934,Asia/Kabul
1135158,Kushk,33.29565,61.95221,AF,AFG,Afghanistan,Kabul,16952,Asia/Kabul
1135689,Kunduz,36.72895,68.857,AF,AFG,Afghanistan,Kabul,161902,Asia/Kabul
1136469,Khost,33.33951,69.92041,AF,AFG,Afghanistan,Kabul,96123,Asia/Kabul
1136575,Khulm,36.69736,67.69826,AF,AFG,Afghanistan,Kabul,64933,Asia/Kabul
1136863,Khash,31.52919,62.79055,AF,AFG,Afghanistan,Kabul,15133,Asia/Kabul
1137168,Khanabad,36.6825,69.11556,AF,AFG,Afghanistan,Kabul,71531,Asia/Kabul
1137807,Karukh,34.48108,62.5863,AF,AFG,Afghanistan,Kabul,17484,Asia/Kabul
1138336,Kandahar,31.61332,65.71013,AF,AFG,Afghanistan,Kabul,391190,Asia/Kabul
1138958,Kabul,34.52813,69.17233,AF,AFG,Afghanistan,Kabul,3043532,Asia/Kabul
1139715,Jalalabad,34.42647,70.45153,AF,AFG,Afghanistan,Kabul,200331,Asia/Kabul
1139807,Jabal os Saraj,35.11833,69.23778,AF,AFG,Afghanistan,Kabul,15032,Asia/Kabul
1140026,Herat,34.34817,62.19967,AF,AFG,Afghanistan,Kabul,272806,Asia/Kabul
1141089,Ghormach,35.73062,63.78264,AF,AFG,Afghanistan,Kabul,30000,Asia/Kabul
1141269,Ghazni,33.55391,68.42096,AF,AFG,Afghanistan,Kabul,141000,Asia/Kabul
1141540,Gereshk,31.82089,64.57005,AF,AFG,Afghanistan,Kabul,43588,Asia/Kabul
1141857,Gardez,33.59744,69.22592,AF,AFG,Afghanistan,Kabul,103601,Asia/Kabul
1142170,Fayzabad,37.11664,70.58002,AF,AFG,Afghanistan,Kabul,44421,Asia/Kabul
1142264,Farah,32.37451,62.11638,AF,AFG,Afghanistan,Kabul,43561,Asia/Kabul
1142404,Kafir Qala,34.66667,61.06667,AF,AFG,Afghanistan,Kabul,18086,Asia/Kabul
1145352,Charikar,35.01361,69.17139,AF,AFG,Afghanistan,Kabul,53676,Asia/Kabul
1147066,Baraki Barak,33.96744,68.9492,AF,AFG,Afghanistan,Kabul,22305,Asia/Kabul
1147242,Bamyan,34.82156,67.82734,AF,AFG,Afghanistan,Kabul,61863,Asia/Kabul
1147290,Balkh,36.75635,66.8972,AF,AFG,Afghanistan,Kabul,114883,Asia/Kabul
1147540,Baghlan,36.13068,68.70829,AF,AFG,Afghanistan,Kabul,108449,Asia/Kabul
1148106,Art Khwajah,37.08571,69.47958,AF,AFG,Afghanistan,Kabul,18623,Asia/Kabul
1148205,Asmar,35.03333,71.35809,AF,AFG,Afghanistan,Kabul,15708,Asia/Kabul
1148311,Asadabad,34.87311,71.14697,AF,AFG,Afghanistan,Kabul,48400,Asia/Kabul
1148658,Andkhoy,36.95293,65.12376,AF,AFG,Afghanistan,Kabul,29208,Asia/Kabul
1429434,Bazarak,35.31292,69.51519,AF,AFG,Afghanistan,Kabul,65000,Asia/Kabul
1469706,Markaz-e Woluswali-ye Achin,34.12583,70.70778,AF,AFG,Afghanistan,Kabul,15098,Asia/Kabul
3576022,Saint John's,17.11717,-61.84573,AG,ATG,Antigua and Barbuda,St. John's,24226,America/Antigua
3573374,The Valley,18.21704,-63.05783,AI,AIA,Anguilla,The Valley,2035,America/Anguilla
363243,Sarande,39.87556,20.00528,AL,ALB,Albania,Tirana,15147,Europe/Tirane
782661,Kukes,42.07694,20.42194,AL,ALB,Albania,Tirana,17832,Europe/Tirane
